2026-03-17 16:32:41 | INFO     | extraction_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Extracted 2 pages, 283 words
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Generated 2 chunks
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Extraction complete ✓
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:41 | INFO     | rag_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:41 | INFO     | rag_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Generating embeddings ...
2026-03-17 16:32:41 | INFO     | embedding_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:41 | INFO     | embedding_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:41 | INFO     | rag_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:41 | INFO     | rag_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\14dfbf4f-de65-41e8-a60f-e3251daa9a25
2026-03-17 16:32:41 | INFO     | rag_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] FAISS index ready ✓
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] [100%] Document ready for chat ✓
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [14dfbf4f-de65-41e8-a60f-e3251daa9a25] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:41 | INFO     | pdf_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\9b3924f7-03d3-4af0-a888-8607d8ff402a_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:41 | INFO     | pdf_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Document state created — status=uploaded
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] [5%] Loading document ...
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Extracted 2 pages, 283 words
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Generated 2 chunks
2026-03-17 16:32:41 | INFO     | extraction_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Extraction complete ✓
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:41 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:41 | INFO     | rag_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:41 | INFO     | rag_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Generating embeddings ...
2026-03-17 16:32:41 | INFO     | embedding_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:41 | INFO     | embedding_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\9b3924f7-03d3-4af0-a888-8607d8ff402a
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] FAISS index ready ✓
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] [100%] Document ready for chat ✓
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9b3924f7-03d3-4af0-a888-8607d8ff402a] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:42 | INFO     | pdf_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\9f3ed3c2-cb9d-435c-86f9-3aa6d003114d_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:42 | INFO     | pdf_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Document state created — status=uploaded
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] [5%] Loading document ...
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Extracted 2 pages, 283 words
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Generated 2 chunks
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Extraction complete ✓
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Generating embeddings ...
2026-03-17 16:32:42 | INFO     | embedding_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:42 | INFO     | embedding_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\9f3ed3c2-cb9d-435c-86f9-3aa6d003114d
2026-03-17 16:32:42 | INFO     | rag_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] FAISS index ready ✓
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] [100%] Document ready for chat ✓
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [9f3ed3c2-cb9d-435c-86f9-3aa6d003114d] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:42 | INFO     | pdf_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\abfa950a-e018-4cb7-962e-d41fb8b73e33_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:42 | INFO     | pdf_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Document state created — status=uploaded
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] [5%] Loading document ...
2026-03-17 16:32:42 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:42 | INFO     | extraction_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Extracted 2 pages, 283 words
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Generated 2 chunks
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Extraction complete ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:43 | INFO     | rag_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:43 | INFO     | rag_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Generating embeddings ...
2026-03-17 16:32:43 | INFO     | embedding_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:43 | INFO     | embedding_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:43 | INFO     | rag_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] FAISS index built — 2 vectors, dim=384
2026-03-17 16:32:43 | INFO     | rag_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Index persisted → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\vectorstore\abfa950a-e018-4cb7-962e-d41fb8b73e33
2026-03-17 16:32:43 | INFO     | rag_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] FAISS index ready ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] [100%] Document ready for chat ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [abfa950a-e018-4cb7-962e-d41fb8b73e33] Pipeline complete — 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:43 | INFO     | pdf_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Saved 'Student_Performance_Project_Report.pdf' → C:\Users\ADMIN\PycharmProjects\pdf_analyzer\data\uploads\7ea0c03d-1476-422a-bd03-ccf52326641c_Student_Performance_Project_Report.pdf (466,371 bytes)
2026-03-17 16:32:43 | INFO     | pdf_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Document state created — status=uploaded
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] [5%] Loading document ...
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] [20%] Extracting text and detecting sections ...
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Starting extraction for 'Student_Performance_Project_Report.pdf'
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Extracted 2 pages, 283 words
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Detected 2 sections: ['results', 'results']
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Generated 2 chunks
2026-03-17 16:32:43 | INFO     | extraction_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Extraction complete ✓
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] [50%] Extracted 2 pages, 2 sections, 2 chunks
2026-03-17 16:32:43 | INFO     | analysis_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] [65%] Generating embeddings and building vector index ...
2026-03-17 16:32:43 | INFO     | rag_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Building FAISS index for 'Student_Performance_Project_Report.pdf' (2 chunks)
2026-03-17 16:32:43 | INFO     | rag_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Generating embeddings ...
2026-03-17 16:32:43 | INFO     | embedding_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Embedding 2 chunks (batch_size=64)
2026-03-17 16:32:43 | INFO     | embedding_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] Embeddings generated ✓ — shape=(2, 384), dtype=float32
2026-03-17 16:32:43 | INFO     | rag_service:195 | [7ea0c03d-1476-422a-bd03-ccf52326641c] FAISS index built — 2 vectors, dim=384
